,Code,Description1
8151,G9432001003,"Asthma well-controlled based on the act, c-act, acq, or ataq score and results"
8152,G9432002004,documented
8153,G9433001003,"Death, permanent nursing home resident or receiving hospice or palliative care"
8154,G9433002004,any time during the measurement period
8155,G9434001003,"Asthma not well-controlled based on the act, c-act, acq, or ataq score, or"
8156,G9434002004,"specified asthma control tool not used, reason not given"
8157,G9435001003,Aspirin prescribed at discharge
8158,G9436001003,"Aspirin not prescribed for documented reasons (e.g., allergy, medical"
8159,G9436002004,"intolerance, history of bleed)"
8160,G9437001003,Aspirin not prescribed at discharge
8161,G9438001003,P2y inhibitor prescribed at discharge
8162,G9439001003,"P2y inhibitor not prescribed for documented reasons (e.g., allergy, medical"
8163,G9439002004,"intolerance, history of bleed)"
8164,G9440001003,P2y inhibitor not prescribed at discharge
8165,G9441001003,Statin prescribed at discharge
8166,G9442001003,"Statin not prescribed for documented reasons (e.g., allergy, medical"
8167,G9442002004,intolerance)
8168,G9443001003,Statin not prescribed at discharge
8169,G9448001003,Patients who were born in the years 1945 to 1965
8170,G9449001003,History of receiving blood transfusions prior to 1992
8171,G9450001003,History of injection drug use
8172,G9451001003,Patient received one-time screening for hcv infection
8173,G9452001003,Documentation of medical reason(s) for not receiving hcv antibody test due to
8174,G9452002004,limited life expectancy
8175,G9453001003,Documentation of patient reason(s) for not receiving one-time screening for hcv
8176,G9453002004,"infection (e.g., patient declined, other patient reasons)"
8177,G9454001003,One-time screening for hcv infection not received within 12-month reporting
8178,G9454002004,"period and no documentation of prior screening for hcv infection, reason not"
8179,G9454003004,given
8180,G9455001003,"Patient underwent abdominal imaging with ultrasound, contrast enhanced ct or"
8181,G9455002004,contrast mri for hcc
8182,G9456001003,Documentation of medical or patient reason(s) for not ordering or performing
8183,G9456002004,screening for hcc. medical reason: comorbid medical conditions with expected
8184,G9456003004,"survival < 5 years, hepatic decompensation and not a candidate for liver"
8185,G9456004004,"transplantation, or other medical reasons; patient reasons: patient declined or"
8186,G9456005004,"other patient reasons (e.g., cost of tests, time related to accessing testing"
8187,G9456006004,equipment)
8188,G9457001003,Patient did not undergo abdominal imaging and did not have a documented reason
8189,G9457002004,for not undergoing abdominal imaging in the submission period
8190,G9458001003,Patient documented as tobacco user and received tobacco cessation intervention
8191,G9458002004,(must include at least one of the following: advice given to quit smoking or
8192,G9458003004,"tobacco use, counseling on the benefits of quitting smoking or tobacco use,"
8193,G9458004004,assistance with or referral to external smoking or tobacco cessation support
8194,G9458005004,"programs, or current enrollment in smoking or tobacco use cessation program) if"
8195,G9458006004,identified as a tobacco user
8196,G9459001003,Currently a tobacco non-user
8197,G9460001003,"Tobacco assessment or tobacco cessation intervention not performed, reason not"
8198,G9460002004,given
8199,G9463001003,I intend to report the sinusitis measures group
8200,G9464001003,All quality actions for the applicable measures in the sinusitis measures group
8201,G9464002004,have been performed for this patient
8202,G9465001003,I intend to report the acute otitis externa (aoe) measures group
8203,G9466001003,All quality actions for the applicable measures in the aoe measures group have
8204,G9466002004,been performed for this patient
8205,G9467001003,Patient who have received or are receiving corticosteroids greater than or
8206,G9467002004,equal to 10 mg/day of prednisone equivalents for 60 or greater consecutive days
8207,G9467003004,or a single prescription equating to 600 mg prednisone or greater for all fills
8208,G9467004004,within the last twelve months
8209,G9468001003,Patient not receiving corticosteroids greater than or equal to 10 mg/day of
8210,G9468002004,prednisone equivalents for 60 or greater consecutive days or a single
8211,G9468003004,prescription equating to 600 mg prednisone or greater for all fills
8212,G9469001003,Patients who have received or are receiving corticosteroids greater than or
8213,G9469002004,equal to 10 mg/day of prednisone equivalents for 90 or greater consecutive days
8214,G9469003004,or a single prescription equating to 900 mg prednisone or greater for all fills
8215,G9470001003,Patients not receiving corticosteroids greater than or equal to 10 mg/day of
8216,G9470002004,prednisone equivalents for 60 or greater consecutive days or a single
8217,G9470003004,prescription equating to 600 mg prednisone or greater for all fills
8218,G9471001003,"Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not"
8219,G9471002004,ordered or documented
8220,G9472001003,"Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not"
8221,G9472002004,"ordered and documented, no review of systems and no medication history or"
8222,G9472003004,pharmacologic therapy (other than minerals/vitamins) for osteoporosis prescribe
8223,G9473001003,"Services performed by chaplain in the hospice setting, each 15 minutes"
8224,G9474001003,"Services performed by dietary counselor in the hospice setting, each 15 minutes"
8225,G9475001003,"Services performed by other counselor in the hospice setting, each 15 minutes"
8226,G9476001003,"Services performed by volunteer in the hospice setting, each 15 minutes"
8227,G9477001003,"Services performed by care coordinator in the hospice setting, each 15 minutes"
8228,G9478001003,"Services performed by other qualified therapist in the hospice setting, each 15"
8229,G9478002004,minutes
8230,G9479001003,"Services performed by qualified pharmacist in the hospice setting, each 15"
8231,G9479002004,minutes
8232,G9480001003,Admission to medicare care choice model program (mccm)
8233,G9481001003,Remote in-home visit for the evaluation and management of a new patient for use
8234,G9481002004,"only in a medicare-approved cms innovation center demonstration project, which"
8235,G9481003004,requires these 3 key components: a problem focused history;  a problem focused
8236,G9481004004,"examination; and straightforward medical decision making, furnished in real"
8237,G9481005004,time using interactive audio and video technology.  counseling and coordination
8238,G9481006004,"of care with other physicians, other qualified health care professionals or"
8239,G9481007004,agencies are provided consistent with the nature of the problem(s) and the
8240,G9481008004,"needs of the patient or the family or both. usually, the presenting problem(s)"
8241,G9481009004,"are self limited or minor.  typically, 10 minutes are spent with the patient or"
8242,G9481010004,"family or both via real time, audio and video intercommunications technology"
8243,G9482001003,Remote in-home visit for the evaluation and management of a new patient for use
8244,G9482002004,"only in a medicare-approved cms innovation center demonstration project, which"
8245,G9482003004,requires these 3 key components: an expanded problem focused history; an
8246,G9482004004,"expanded problem focused examination;  straightforward medical decision making,"
8247,G9482005004,furnished in real time using interactive audio and video technology.
8248,G9482006004,"counseling and coordination of care with other physicians, other qualified"
8249,G9482007004,health care professionals or agencies are provided consistent with the nature
8250,G9482008004,"of the problem(s) and the needs of the patient or the family or both.  usually,"
8251,G9482009004,"the presenting problem(s) are of low to moderate severity.  typically, 20"
8252,G9482010004,"minutes are spent with the patient or family or both via real time, audio and"
8253,G9482011004,video intercommunications technology
8254,G9483001003,Remote in-home visit for the evaluation and management of a new patient for use
8255,G9483002004,"only in a medicare-approved cms innovation center demonstration project, which"
8256,G9483003004,requires these 3 key components: a detailed history; a detailed examination;
